Gesture,Landmarks
None,"[0.3075728714466095, 1.033179521560669, 0.24109292030334473, 0.9229692220687866, 0.21592970192432404, 0.7902497053146362, 0.21001632511615753, 0.6832076907157898, 0.17556539177894592, 0.6163095831871033, 0.3093366026878357, 0.6614834070205688, 0.40660613775253296, 0.6352921724319458, 0.42201802134513855, 0.6878353357315063, 0.40714260935783386, 0.7306365966796875, 0.36306139826774597, 0.6920408010482788, 0.4621606767177582, 0.6798718571662903, 0.4591020941734314, 0.739294707775116, 0.42880672216415405, 0.7784174084663391, 0.41269785165786743, 0.7477335929870605, 0.49840885400772095, 0.7350857853889465, 0.48854202032089233, 0.7892080545425415, 0.45742565393447876, 0.8244884014129639, 0.45578598976135254, 0.8178629279136658, 0.5225350856781006, 0.7974798679351807, 0.5068749189376831, 0.8404733538627625, 0.4770779609680176, 0.8697187900543213]"
None,"[0.3088339865207672, 1.0350598096847534, 0.2423543632030487, 0.9263480305671692, 0.2160232663154602, 0.7954457402229309, 0.20910438895225525, 0.6889176368713379, 0.1755283623933792, 0.6205208897590637, 0.3091042637825012, 0.6616019606590271, 0.40539228916168213, 0.6368863582611084, 0.4212574362754822, 0.6891473531723022, 0.406787633895874, 0.7318201065063477, 0.36335158348083496, 0.6913297176361084, 0.4605865478515625, 0.6804101467132568, 0.4585686922073364, 0.7396748065948486, 0.4292960464954376, 0.7784573435783386, 0.4135148823261261, 0.7460210919380188, 0.49806877970695496, 0.7338563203811646, 0.48855701088905334, 0.7883707284927368, 0.457817941904068, 0.8234639167785645, 0.4574199318885803, 0.8161267042160034, 0.5235389471054077, 0.7966703176498413, 0.507703423500061, 0.8399503231048584, 0.4777020215988159, 0.86925208568573]"
None,"[0.3110131621360779, 1.0360027551651, 0.24656467139720917, 0.9291200637817383, 0.22059614956378937, 0.8024826645851135, 0.21157817542552948, 0.698136031627655, 0.17631427943706512, 0.632559061050415, 0.3068201541900635, 0.6680262088775635, 0.40364083647727966, 0.6411056518554688, 0.4196265935897827, 0.6944172382354736, 0.40533122420310974, 0.737209677696228, 0.3618786633014679, 0.6954345703125, 0.4603992700576782, 0.6836375594139099, 0.4589736759662628, 0.74391108751297, 0.4298554062843323, 0.782417893409729, 0.4136149287223816, 0.7482132911682129, 0.4992334246635437, 0.7351360321044922, 0.49033236503601074, 0.7909196615219116, 0.45976710319519043, 0.8259376287460327, 0.45894885063171387, 0.8167263865470886, 0.5247059464454651, 0.796309232711792, 0.509238600730896, 0.8405186533927917, 0.4796118438243866, 0.8696845173835754]"
None,"[0.3117196559906006, 1.040378451347351, 0.24665828049182892, 0.9341663718223572, 0.2208903282880783, 0.8079184889793396, 0.21231621503829956, 0.7029759883880615, 0.1764409840106964, 0.637053370475769, 0.30794256925582886, 0.672438383102417, 0.4058322012424469, 0.6459425687789917, 0.42424553632736206, 0.6994019150733948, 0.4123513698577881, 0.7406375408172607, 0.3625358045101166, 0.699800968170166, 0.4631303548812866, 0.688147783279419, 0.46283507347106934, 0.7491823434829712, 0.43501561880111694, 0.7875601053237915, 0.41404545307159424, 0.7523812055587769, 0.5011371374130249, 0.7410861253738403, 0.4921416640281677, 0.7969728112220764, 0.46181148290634155, 0.831956148147583, 0.4595676064491272, 0.8201194405555725, 0.5246191024780273, 0.8024758696556091, 0.5088008642196655, 0.8470396399497986, 0.4790569245815277, 0.8761552572250366]"
None,"[0.31196314096450806, 1.0396281480789185, 0.24472782015800476, 0.9359642267227173, 0.21689745783805847, 0.8142435550689697, 0.20541329681873322, 0.7119932174682617, 0.16934865713119507, 0.6466619968414307, 0.3027564585208893, 0.6768676042556763, 0.39495036005973816, 0.6420561671257019, 0.41622069478034973, 0.6909372210502625, 0.40759164094924927, 0.7307345867156982, 0.3574265241622925, 0.7021641731262207, 0.4538552761077881, 0.6818534731864929, 0.4551430940628052, 0.7391790151596069, 0.42770546674728394, 0.777435302734375, 0.4086262881755829, 0.751282274723053, 0.49303150177001953, 0.7307710647583008, 0.48597073554992676, 0.7854748368263245, 0.45670825242996216, 0.8207395672798157, 0.45457789301872253, 0.8171860575675964, 0.5208005905151367, 0.7924201488494873, 0.5065502524375916, 0.8373626470565796, 0.47634798288345337, 0.868603527545929]"
None,"[0.3095839321613312, 1.0315680503845215, 0.24211335182189941, 0.9306143522262573, 0.21358650922775269, 0.8102958798408508, 0.20139141380786896, 0.7086471915245056, 0.16368968784809113, 0.6458848118782043, 0.29824331402778625, 0.672493577003479, 0.38769492506980896, 0.6369078159332275, 0.4077233076095581, 0.6833610534667969, 0.39819860458374023, 0.7216038107872009, 0.35291436314582825, 0.6974745392799377, 0.44855982065200806, 0.6763812899589539, 0.4486493468284607, 0.7331631779670715, 0.41926538944244385, 0.7708527445793152, 0.40402573347091675, 0.7462950944900513, 0.48903894424438477, 0.7241004109382629, 0.4822409749031067, 0.7773042321205139, 0.4519711136817932, 0.811884880065918, 0.4494265913963318, 0.811349630355835, 0.5167261362075806, 0.7846885919570923, 0.5031589865684509, 0.827215313911438, 0.4720945656299591, 0.8572242856025696]"
None,"[0.30792292952537537, 1.0297842025756836, 0.24140989780426025, 0.9303816556930542, 0.2130489945411682, 0.8097730278968811, 0.20104484260082245, 0.7094603180885315, 0.1646571010351181, 0.6462914943695068, 0.2973170280456543, 0.6711206436157227, 0.3922119140625, 0.6384347677230835, 0.41201716661453247, 0.6839054226875305, 0.40310531854629517, 0.721068799495697, 0.3508358895778656, 0.6960999369621277, 0.45020806789398193, 0.6807570457458496, 0.4478783905506134, 0.7380551695823669, 0.41864389181137085, 0.7748446464538574, 0.4013634920120239, 0.7459799647331238, 0.4884113669395447, 0.7283463478088379, 0.4798400402069092, 0.7813470959663391, 0.45048126578330994, 0.814534604549408, 0.4463508725166321, 0.811301052570343, 0.5147736072540283, 0.7865158915519714, 0.5006511807441711, 0.8279591202735901, 0.4712317883968353, 0.8564154505729675]"
None,"[0.30902162194252014, 1.0296016931533813, 0.23910489678382874, 0.9286917448043823, 0.2106935679912567, 0.8098341822624207, 0.19982485473155975, 0.7099719047546387, 0.1635812669992447, 0.6459746956825256, 0.2966541647911072, 0.672843337059021, 0.3891657590866089, 0.6394438743591309, 0.4129232168197632, 0.6789326071739197, 0.40850773453712463, 0.7139827609062195, 0.3508606553077698, 0.6959336996078491, 0.4471712112426758, 0.6815588474273682, 0.447613388299942, 0.7375084757804871, 0.42142459750175476, 0.7754412889480591, 0.401572048664093, 0.7439826130867004, 0.48766687512397766, 0.7253773808479309, 0.4803841710090637, 0.7786106467247009, 0.45198923349380493, 0.8136608004570007, 0.44688698649406433, 0.807773768901825, 0.5132124423980713, 0.7841387391090393, 0.4998705983161926, 0.8258298635482788, 0.4711003303527832, 0.8552975654602051]"
None,"[0.3141672611236572, 1.0402671098709106, 0.24460262060165405, 0.9400495290756226, 0.21349526941776276, 0.8180527687072754, 0.20035085082054138, 0.7149602770805359, 0.16194945573806763, 0.6513919830322266, 0.2908562421798706, 0.6743239164352417, 0.3880370259284973, 0.6392528414726257, 0.4047696590423584, 0.6886622905731201, 0.39105692505836487, 0.7269833087921143, 0.3465105891227722, 0.6977934837341309, 0.4457383453845978, 0.6776785254478455, 0.4447283148765564, 0.7364788055419922, 0.4151438772678375, 0.7744303345680237, 0.39967218041419983, 0.7454553842544556, 0.4867972433567047, 0.7218987941741943, 0.4791765809059143, 0.7760658860206604, 0.4488380551338196, 0.8115006685256958, 0.44769418239593506, 0.8089052438735962, 0.5120092630386353, 0.7819668054580688, 0.49849945306777954, 0.8244724869728088, 0.46904030442237854, 0.8541175723075867]"
None,"[0.32173460721969604, 1.0478401184082031, 0.24714426696300507, 0.9505853056907654, 0.21354340016841888, 0.8253306150436401, 0.19974862039089203, 0.7207958698272705, 0.16074255108833313, 0.65753173828125, 0.2914653420448303, 0.6796313524246216, 0.3869328796863556, 0.6469707489013672, 0.4046346843242645, 0.6968314051628113, 0.3926318287849426, 0.7371992468833923, 0.34713801741600037, 0.7019596099853516, 0.4434804618358612, 0.6816998720169067, 0.44464462995529175, 0.7398887276649475, 0.418394535779953, 0.7789127230644226, 0.40075185894966125, 0.7509021162986755, 0.48426294326782227, 0.7261040806770325, 0.4787541627883911, 0.7808903455734253, 0.45156949758529663, 0.8175469040870667, 0.4495018720626831, 0.8159175515174866, 0.5127117037773132, 0.7860926985740662, 0.5004034042358398, 0.8296298980712891, 0.4731074571609497, 0.8611654043197632]"
None,"[0.31918781995773315, 1.0491617918014526, 0.24687424302101135, 0.9510123133659363, 0.2132539600133896, 0.826259195804596, 0.19909967482089996, 0.722030520439148, 0.16051480174064636, 0.6594181656837463, 0.29185551404953003, 0.6808337569236755, 0.38881927728652954, 0.6517056226730347, 0.4071043133735657, 0.700459361076355, 0.3955312669277191, 0.7399216890335083, 0.34754475951194763, 0.7027852535247803, 0.4455803632736206, 0.6866854429244995, 0.4478858709335327, 0.7440747022628784, 0.42240047454833984, 0.7823171019554138, 0.4010467529296875, 0.7519949078559875, 0.4866909384727478, 0.7315446734428406, 0.48090463876724243, 0.7863186597824097, 0.45302078127861023, 0.8218928575515747, 0.449338436126709, 0.8173083662986755, 0.5134944319725037, 0.7912551164627075, 0.5002499222755432, 0.8354416489601135, 0.47171419858932495, 0.8663688898086548]"
None,"[0.31724822521209717, 1.0476067066192627, 0.24584384262561798, 0.9488308429718018, 0.2131160944700241, 0.8244091868400574, 0.19921432435512543, 0.7203786969184875, 0.16028474271297455, 0.6579344272613525, 0.2912133038043976, 0.6802670359611511, 0.3910686671733856, 0.6517639756202698, 0.4091114401817322, 0.6992539763450623, 0.3966226875782013, 0.7385175228118896, 0.3470814526081085, 0.7014467716217041, 0.44775187969207764, 0.6863785982131958, 0.44920259714126587, 0.7430065274238586, 0.4220006465911865, 0.780672013759613, 0.4006633758544922, 0.7505281567573547, 0.4888421297073364, 0.7308964729309082, 0.48251160979270935, 0.7858142256736755, 0.453433096408844, 0.8208345174789429, 0.4488326907157898, 0.8160719871520996, 0.514326810836792, 0.7926899194717407, 0.5001471638679504, 0.8374784588813782, 0.4705749452114105, 0.8677997589111328]"
None,"[0.3167634904384613, 1.0473902225494385, 0.24594561755657196, 0.9481391310691833, 0.2132301777601242, 0.8283076882362366, 0.19952711462974548, 0.7249422073364258, 0.16099883615970612, 0.6632564663887024, 0.29015210270881653, 0.6825876235961914, 0.38324445486068726, 0.6501823663711548, 0.40169692039489746, 0.6985397338867188, 0.39038193225860596, 0.7392241358757019, 0.3473624289035797, 0.7040428519248962, 0.4419632852077484, 0.6854021549224854, 0.44489192962646484, 0.7416871786117554, 0.4190923571586609, 0.7806581258773804, 0.40183112025260925, 0.7518050670623779, 0.48440006375312805, 0.728756308555603, 0.4797128438949585, 0.7823143005371094, 0.4515901207923889, 0.8188514709472656, 0.4502549469470978, 0.8154323101043701, 0.5128904581069946, 0.7866861820220947, 0.49993371963500977, 0.8303844332695007, 0.4707331657409668, 0.8624655604362488]"
None,"[0.31603169441223145, 1.0450687408447266, 0.244304820895195, 0.9469772577285767, 0.2116045206785202, 0.8269332051277161, 0.197982519865036, 0.7242156267166138, 0.15903182327747345, 0.6632856130599976, 0.28952494263648987, 0.6817554831504822, 0.38612326979637146, 0.6498734951019287, 0.4029828906059265, 0.6983092427253723, 0.389872670173645, 0.738290011882782, 0.34606751799583435, 0.7043571472167969, 0.4432705342769623, 0.6850759387016296, 0.4451786279678345, 0.7414491772651672, 0.4189181327819824, 0.780255913734436, 0.40016254782676697, 0.7534695863723755, 0.48496001958847046, 0.7291014790534973, 0.47990888357162476, 0.7832695245742798, 0.45160260796546936, 0.8198134899139404, 0.4482663869857788, 0.8183186054229736, 0.512417197227478, 0.7888674736022949, 0.49941885471343994, 0.8329227566719055, 0.4705461263656616, 0.8646706342697144]"
None,"[0.319291353225708, 1.0470051765441895, 0.2453993707895279, 0.949621319770813, 0.21183569729328156, 0.8295190930366516, 0.19765476882457733, 0.7269705533981323, 0.15862546861171722, 0.664337694644928, 0.28963202238082886, 0.6815931797027588, 0.38709384202957153, 0.6508203148841858, 0.4046727120876312, 0.7002424597740173, 0.39231425523757935, 0.7412741780281067, 0.3451632261276245, 0.7030602693557739, 0.44362300634384155, 0.6870942115783691, 0.44492363929748535, 0.7451837658882141, 0.41833579540252686, 0.7850230932235718, 0.39876070618629456, 0.751504123210907, 0.4840964674949646, 0.7302961349487305, 0.47815263271331787, 0.7850440144538879, 0.4498631954193115, 0.822049081325531, 0.447048157453537, 0.8158175945281982, 0.5118030309677124, 0.7877077460289001, 0.498135507106781, 0.8319847583770752, 0.46907347440719604, 0.864162266254425]"
None,"[0.32034170627593994, 1.0479035377502441, 0.24692395329475403, 0.949957549571991, 0.212696835398674, 0.8286455869674683, 0.19790305197238922, 0.7260854244232178, 0.15884186327457428, 0.6640443205833435, 0.28960686922073364, 0.6814652681350708, 0.38731762766838074, 0.6495904326438904, 0.40294021368026733, 0.7006577253341675, 0.38859301805496216, 0.7421820163726807, 0.34473106265068054, 0.7041832804679871, 0.4431424140930176, 0.6874502897262573, 0.4433298110961914, 0.7458112239837646, 0.41595542430877686, 0.7852820158004761, 0.39821386337280273, 0.7536932229995728, 0.48367780447006226, 0.7317996025085449, 0.4769664406776428, 0.7862237095832825, 0.4483727514743805, 0.8225379586219788, 0.4463930130004883, 0.8182262778282166, 0.5113828182220459, 0.7890189290046692, 0.49763181805610657, 0.8332104086875916, 0.46889862418174744, 0.8649689555168152]"
None,"[0.31439951062202454, 1.0497573614120483, 0.2431780993938446, 0.9538514614105225, 0.21063189208507538, 0.8322399854660034, 0.19744345545768738, 0.7280972003936768, 0.15755635499954224, 0.6669162511825562, 0.2893449664115906, 0.683699905872345, 0.38647061586380005, 0.6504305005073547, 0.40452903509140015, 0.6996495723724365, 0.3927784860134125, 0.740566074848175, 0.34502631425857544, 0.7078472971916199, 0.4428170621395111, 0.686720609664917, 0.44479453563690186, 0.7448149919509888, 0.4190917909145355, 0.7848883271217346, 0.3986385762691498, 0.7579320669174194, 0.4824347496032715, 0.7324621081352234, 0.4766612648963928, 0.7872017025947571, 0.44895681738853455, 0.8246771097183228, 0.4466727674007416, 0.8235357999801636, 0.5105945467948914, 0.7911763191223145, 0.49749109148979187, 0.8356664776802063, 0.46888285875320435, 0.8687670826911926]"
None,"[0.31933069229125977, 1.0558346509933472, 0.2453366219997406, 0.9592615365982056, 0.2115679830312729, 0.8383311033248901, 0.19696328043937683, 0.7331634163856506, 0.15713252127170563, 0.6685652136802673, 0.28694871068000793, 0.6882280707359314, 0.38379716873168945, 0.6543895602226257, 0.4048116207122803, 0.7037751078605652, 0.39485931396484375, 0.7451021671295166, 0.3426216244697571, 0.7099472284317017, 0.44105401635169983, 0.688339352607727, 0.4453189969062805, 0.7468050122261047, 0.42014336585998535, 0.7874022126197815, 0.39622992277145386, 0.7582589387893677, 0.4817805290222168, 0.733607292175293, 0.47768470644950867, 0.7889758944511414, 0.4499948024749756, 0.8270358443260193, 0.4449966549873352, 0.8235520720481873, 0.5103438496589661, 0.7936233282089233, 0.49826422333717346, 0.8384242057800293, 0.4694144129753113, 0.8720536231994629]"
None,"[0.3204130232334137, 1.0541927814483643, 0.24560251832008362, 0.9583017826080322, 0.21104301512241364, 0.836226761341095, 0.1962720900774002, 0.7309622168540955, 0.15668325126171112, 0.6664427518844604, 0.2872300148010254, 0.6870038509368896, 0.3863319754600525, 0.6542677879333496, 0.404691606760025, 0.7031373977661133, 0.39368435740470886, 0.7427408695220947, 0.3423040509223938, 0.7091330885887146, 0.44278860092163086, 0.6906826496124268, 0.4443192183971405, 0.7497768998146057, 0.4185044765472412, 0.7889686822891235, 0.3955404758453369, 0.7585964798927307, 0.48302632570266724, 0.7364739179611206, 0.4770238995552063, 0.793027937412262, 0.4491270184516907, 0.8297054171562195, 0.4440959095954895, 0.8238292336463928, 0.5106809139251709, 0.7959228754043579, 0.49753472208976746, 0.8421069979667664, 0.4689541161060333, 0.8744380474090576]"
None,"[0.3248691260814667, 1.0598655939102173, 0.24801965057849884, 0.9619515538215637, 0.2119196057319641, 0.8389363884925842, 0.19696800410747528, 0.7337983846664429, 0.1576758325099945, 0.6696847081184387, 0.28442639112472534, 0.6902872323989868, 0.38481462001800537, 0.6540307998657227, 0.4069265127182007, 0.6999398469924927, 0.3981523811817169, 0.7385572195053101, 0.33953315019607544, 0.7107288837432861, 0.44119396805763245, 0.6876429319381714, 0.44442158937454224, 0.7464593052864075, 0.41835710406303406, 0.7871912121772766, 0.39328670501708984, 0.7590486407279968, 0.48099973797798157, 0.7330498099327087, 0.47669464349746704, 0.78913813829422, 0.4488457441329956, 0.8269605040550232, 0.44251230359077454, 0.8234682083129883, 0.5098004937171936, 0.7909868359565735, 0.4979322552680969, 0.836310088634491, 0.46947798132896423, 0.8698509335517883]"
None,"[0.3144112229347229, 1.0594451427459717, 0.2414398193359375, 0.9617049694061279, 0.20959818363189697, 0.8383577466011047, 0.19673573970794678, 0.7345678210258484, 0.15905030071735382, 0.670753002166748, 0.28499943017959595, 0.6907394528388977, 0.38660404086112976, 0.6546863317489624, 0.4058161675930023, 0.6976317167282104, 0.3957931101322174, 0.7336914539337158, 0.3393808603286743, 0.712109386920929, 0.4403125047683716, 0.6900625824928284, 0.44048285484313965, 0.7464869022369385, 0.41385090351104736, 0.7849934697151184, 0.3924872875213623, 0.7605279088020325, 0.4799778461456299, 0.7351642847061157, 0.47406041622161865, 0.7903433442115784, 0.4464243948459625, 0.8255358338356018, 0.44134825468063354, 0.8241574168205261, 0.5085629224777222, 0.7921033501625061, 0.4959453344345093, 0.8364730477333069, 0.46789154410362244, 0.8676561117172241]"
None,"[0.32107269763946533, 1.052977442741394, 0.24578645825386047, 0.9575177431106567, 0.21179607510566711, 0.8371325135231018, 0.19756852090358734, 0.734207272529602, 0.15960298478603363, 0.6689937710762024, 0.2850881814956665, 0.6889883279800415, 0.3898729085922241, 0.6527944803237915, 0.40885284543037415, 0.7008025050163269, 0.3971114158630371, 0.7392155528068542, 0.3387075960636139, 0.7108868360519409, 0.4436284899711609, 0.6877683401107788, 0.4438951313495636, 0.7469785213470459, 0.41556182503700256, 0.78547203540802, 0.39100128412246704, 0.7588890194892883, 0.48242640495300293, 0.7334551215171814, 0.476581871509552, 0.790956437587738, 0.44750285148620605, 0.8261716961860657, 0.4396045506000519, 0.8224124312400818, 0.508576512336731, 0.7929991483688354, 0.49620556831359863, 0.8389722108840942, 0.46738767623901367, 0.869850754737854]"
None,"[0.3147221505641937, 1.0554813146591187, 0.24203111231327057, 0.9584275484085083, 0.20932777225971222, 0.8367342352867126, 0.19573692977428436, 0.7333154678344727, 0.15786109864711761, 0.6685736179351807, 0.2853177785873413, 0.688605010509491, 0.3865353763103485, 0.6567381620407104, 0.40602120757102966, 0.7016848921775818, 0.3965400159358978, 0.738521158695221, 0.33920636773109436, 0.7103467583656311, 0.44115984439849854, 0.6913416981697083, 0.441979318857193, 0.7485846877098083, 0.4160897433757782, 0.7864903807640076, 0.39183834195137024, 0.7582309246063232, 0.4807961583137512, 0.7359359860420227, 0.4740598201751709, 0.7911036610603333, 0.4459998309612274, 0.825893223285675, 0.44049906730651855, 0.8211727738380432, 0.5080757737159729, 0.7923468351364136, 0.4952576160430908, 0.8365230560302734, 0.46698105335235596, 0.8668398261070251]"
